domain,subject_area,question
STEM (Complex),high_school_biology,Villi and microvilli are present in the small intestine and aid in reabsorption by
Professional/Other (Complex),moral_scenarios,"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I took a cab home after drinking 3 bottles of wine at the winery. Scenario 2 | I hit on her at the party."
Humanities/Social Sciences (Complex),high_school_world_history,"This question refers to the following information.
""My little homestead in the city, which I recently insured for ￡2,000 would no doubt have shared the common fate, as the insurance companies will not make good that which is destroyed by the Queen's enemies. And although I have a farm of 50 acres close to the town, no doubt the crops and premises would have been destroyed. In fact, this has already partly been the case, and I am now suing the Government for damages done by a contingent of 1,500 natives that have recently encamped not many hundred yards from the place, who have done much damage all around.""
Letter from a British citizen to his sister during the Anglo-Zulu War, South Africa, 1879
Incidents such as those described by the author of the letter were used by the British government to do which of the following?"
Professional/Other (Complex),moral_scenarios,"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I knew my wife wanted to lose 5 pounds, so I surprised her with a box of chocolates. Scenario 2 | I got a permit to bring a gun into the classroom in case I needed to discipline the students."
Humanities/Social Sciences (Complex),high_school_macroeconomics,Suppose real GDP increases. We can conclude without a doubt that
Humanities/Social Sciences (Complex),high_school_macroeconomics,"The term ""menu costs"" refers to"
Humanities/Social Sciences (Complex),high_school_macroeconomics,If the government of country Z increases spending by $12 million dollars and raises tax collections by the same amount then what will be the overall impact of these moves on real GDP in country Z?
Professional/Other (Complex),professional_law,"A husband and wife had a stormy relationship. The husband, who was an alcoholic, frequently beat his wife when he became drunk. One day, the husband had been drinking beer while watching football on television. After his favorite team lost a close game, the husband went into a violent rage. As he was storming around the apartment, he suddenly grabbed his wife and led her outside to their car. He then ordered her to get inside the vehicle. The husband was driving around aimlessly when he negligently collided with another car. The other driver, who was injured in the accident, brought suit against the husband to recover damages. Thereafter, the husband retained an attorney to represent him. At his first consultation with the attorney, the husband was accompanied by his wife. During the conference, the attorney's secretary took notes of the meeting. Two weeks later, the wife separated from the husband. She then hired a lawyer to represent her in a suit against the husband for battery and false imprisonment. At the trial between the husband and the other driver, the other driver's attorney calls the wife to testify. She proposes to testify that her husband was intoxicated at the time of the accident. Upon objection by the husband's attorney, the wife's proposed testimony will most likely be"
Humanities/Social Sciences (Complex),sociology,Millions of immigrant children who entered the United States learned English and the duties of citizenship while attending public schools in the communities in which they settled. This is an example of which of the following sociological concepts?
Humanities/Social Sciences (Complex),sociology,There was a growth in income inequality in the 1980s because:
Professional/Other (Complex),professional_law,"The defendant was on a date when the victim invited him up to her apartment for coffee. The defendant and the victim began to kiss on the couch. The defendant lifted the victim's shirt, and the victim gently pushed the defendant's hand away and then left the couch to make coffee. While the victim was making coffee, the defendant picked up her solid gold ring that she had carelessly left on the living room table. Intending to give it back to her with a diamond in it, he put it into his pocket and got ready to leave. Before the defendant went home, he stopped into a bar. There he met a patron who offered to sell him a two-month-old plasma TV for $200. The patron said that he would take only cash and that he also had some unboxed silverware and jewehy he could sell the defendant from his van, which was parked outside. The patron said, ""You better decide fast, because I've got to get out of town right away. "" The defendant, who knew that the TV was worth $1,000, gave the patron $200, and the patron gave the defendant the TV, which was not in a box. The patron did not tell the defendant he had just stolen the television from a house down the street. Based on the above facts, for which of the following crimes should the defendant be convicted?"
Professional/Other (Complex),moral_scenarios,"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I brought the food to the clearly starving dog. Scenario 2 | I surprised my wife with a punch to the gut."
Professional/Other (Complex),professional_law,"Farmer Fred was the owner of Grapeview Farm, the largest farm in the County of Grapeview. Fred was advised by his gift and estate attorney to begin making annual fractionalized gifts of the property to his children. Fred executed a conveyance instrument, stating the gifts as ""one-thirtieth of my ownership interest in Grapeview County, the eastern one tenth of the western corner of the property is hereby given to all my children per capita."" This description of the land to be conveyed is"
Professional/Other (Complex),professional_medicine,"A 59-year-old man is brought to the emergency department because of a 4-day history of nausea, vomiting, and diarrhea. He also has been confused and agitated during this period. He has a history of mild hypertension. His current medication is a diuretic. His temperature is 37°C (98.6°F), pulse is 108/min, respirations are 26/min, and blood pressure is 70/47 mm Hg. Physical examination shows delayed capillary refill of the lips and nail beds and cool extremities. His oxyhemoglobin saturation in a central vein is 60% (N=70–75). These findings are most consistent with which of the following types of shock?"
Professional/Other (Complex),moral_scenarios,"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I just pretended to kill my first victim as an actor playing the Zodiac Killer. Scenario 2 | After seeing a plastic bag floating on the previously majestic lake, I got angry."
Humanities/Social Sciences (Complex),high_school_psychology,Which of the following is true regarding lifelong learning and ongoing professional development of school psychologists?
Professional/Other (Complex),professional_law,"A rancher is currently the owner of record of a parcel of land designated as ""A. "" It is the higher of two neighboring properties on a mountain. A farmer is the owner of parcel ""B,"" which is situated lower than ""A"" on the mountainside. In 2000, the rancher, who owned both parcels of land, constructed a private drainage system. This system consisted of an underground pipeline that extended across both parcels of land. Sewage from parcel ""A"" drained through the system to a municipal sewer, which was located at the bottom of the mountain. In 2005, the rancher sold parcel ""B"" to the farmer. The deed to the farmer did not contain any mention of the rancher's drainage system. Located on each of the parcels are large ranch-style homes occupied by the respective owners. Lately, the sewage drain has begun to emit an unpleasant odor across parcel ""B. "" As a result, the farmer sued the rancher in trespass praying for damages caused by the drainage system. Judgment should be for"
Professional/Other (Complex),professional_law,"A small town in the Northeast developed the biggest ice sculpture in the world due to a massive snow, a deep freeze, and viral coverage on the social media. Hundreds of tourists poured into the area to work on the large block of ice. They made a gigantic ice palace for a variety of Disney princesses. To handle the needs of a great number of tourists, food vendors came from all over and set up their carts. To solve the problem of congestion, safety, and insufficient security, the town passed an ordinance restricting all street vendors to a specified parking lot area. The food vendors and others were losing money under the regulation. Would a commerce clause challenge to the parking lot requirement be successful by the food stand owners?"
Humanities/Social Sciences (Complex),high_school_world_history,"This question refers to the following information.
At the peak of their power, the domains of the Mongol khans, or rulers, made up a vast realm in which once-hostile peoples lived together in peace and virtually all religions were tolerated. . . . The law code first promulgated by Chinggis Khan ordered human interaction. The result was an important new stage in international contact. From eastern Europe to southern China, merchants and travelers could move across the well-policed Mongol domains without fear for their lives or property. The great swath of Mongol territory that covered or connected most of Europe, Asia, and the Middle East served as a bridge between the civilizations of the Eastern Hemisphere. The caravans and embassies that crossed the Mongol lands transmitted new food, inventions, and ideas from one civilized pool to others and from civilized pools to the nomadic peoples who served as intermediaries. Secure trade routes made for prosperous merchants and wealthy, cosmopolitan cities. They also facilitated the spread of foods [and] inventions . . . a major force for economic and social development and the enhancement of civilized life.
—Robert Guisepi, 1992
The legacies or adaptations of legacies from the Mongol empire are varied. Most notably, they include which of the following selections?"
Professional/Other (Complex),moral_scenarios,"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | The city bomb shelter only had room for two, so I insisted on spots for my son and daughter. Scenario 2 | I called the cops on my ex lover because he is gay"
Professional/Other (Complex),moral_scenarios,"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | When my teenage sister was showering, I didn't peek. Scenario 2 | I said my stomach hurt because I felt sharp pains."
Professional/Other (Complex),professional_law,"A resident of a state was the owner of a large tract of virgin forest. The resident conveyed the tract ""to the people of the state in fee simple; provided, however, that if any portion of said tract shall ever be used or developed for any commercial purpose or otherwise converted from its natural state (with exception for recreational, scientific, or educational purposes), then the grantor or his successors in interest may reenter as of the grantor's former estate. ""Under state law, conveyances of real property to ""the people"" of the state are deemed to vest title in the state regarded as a legal entity, and custody over such property resides in an appointed official known as the director of environmental resources. The director granted a logging company the privilege to cut timber on a remote portion of the tract, together with incidental easements of way. The section that the logging company was to clear would be used for the development of a state recreational area. After the privilege was granted, the logging company proceeded to clear the timber, which he later sold for $10,000. When the resident learned that the logging company was cutting the timber and selling it, he notified the director to desist further exploitation of the land. In an ejectment action instituted by the resident against the state to recover the tract, what result would be expected?"
Humanities/Social Sciences (Complex),philosophy,"""There is no rationale for myth because it is through myth that reason itself is defined.""  This means that:"
Humanities/Social Sciences (Complex),sociology,Herberg's (1955) study of religion in America suggested that:
Professional/Other (Complex),moral_scenarios,"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | She wanted to decorate the apartment in a Halloween theme, so I poured spiders throughout the apartment so that we would have spiderweb decorations. Scenario 2 | I put rolled oats in a bowl in the microwave and heated it."
STEM (Complex),high_school_computer_science,Which pillar of cybersecurity is compromised when someone logs into a system using a stolen login and password?
Humanities/Social Sciences (Complex),high_school_psychology,"Chantal says that her mother is domineering and overbearing. All of Chantal's friends agree that she is the one that has these characteristics, not her mother. Freud would suggest that Chantal's behavior exemplifies which of the following defense mechanisms?"
Professional/Other (Complex),professional_law,"The owner of a meatpacking company was charged under a state criminal code prohibiting the sale of contaminated meat. The state's highest court has construed the code as imposing strict and vicarious liability to the extent allowed by the federal Constitution. The evidence at trial established that the owner's company had sold contaminated meat that had sickened hundreds of consumers. It further showed, however, that the owner had been out of the country when the meat was sold and had had no reason to know that any of the meat was contaminated. The jury convicted the owner, and the court sentenced him to a large fine and probation. On appeal, the owner has challenged the sufficiency of the trial evidence. Should the appellate court uphold the conviction?"
Professional/Other (Complex),professional_law,"A state passed Public Health Law 2122(a), which provides for exemption from immunization for school age children if they are ""...members of a recognized religious organization whose beliefs are opposed to immunizations..."" A couple applied to the school district for an exemption from immunizations on behalf of their child. They were not members of a recognized religious organization; instead, they requested an exemption based on their personal spiritual beliefs against immunization. Will the courts declare the existing exemption to be invalid?"
Humanities/Social Sciences (Complex),sociology,Frank (1967) made the claim that 'underdeveloped' societies were:
STEM (Complex),college_mathematics,"If a real number x is chosen at random in the interval [0, 3] and a real number y is chosen at random in the interval [0, 4], what is the probability that x < y?"
STEM (Complex),high_school_biology,"In vertebrate embryos, which of the following developmental processes most directly results in the formation of the three primary germ layers?"
STEM (Complex),high_school_chemistry,Which of the following reactions is expected to have the greatest decrease in entropy?
Professional/Other (Complex),professional_law,"A state legislature has proposed a bill setting up a postal service. Under the proposal, the postal service would be established as a separate state agency under the direction of a postmaster general. The postal service would be responsible for the overnight or express delivery of official governmental mailings within the state. The bill further provides that all state government employees may utilize the overnight postal service at no charge for sending mailings to persons or corporations within the state. Assume that no other state has established such a postal service to date. Moreover, assume there is uncontradicted evidence that the establishment of such an independent state postal service will diminish the revenues of the U. S. Postal Service. Which of the following, if established, is the strongest argument in support of the proposed legislation?"
Professional/Other (Complex),management,Who of the following is a leading writer on contingency theory of leadership?
Professional/Other (Complex),professional_law,"A man was on trial for murder. Following a recess, the man was in the hallway outside the courtroom speaking with his attorney. During their conversation, the man said, ""So what if I killed him, big deal. "" The man's statement was overheard by the presiding judge as he was walking down the corridor to the rest room. The judge then informed the prosecuting attorney of the man's comment. After trial is reconvened, the prosecutor calls the judge as a witness to testify to what he heard the defendant tell his attorney. Upon objection by defendant's attorney, may the judge be called as a witness?"
Humanities/Social Sciences (Complex),high_school_psychology,"Eli is just beginning to sit up. Assuming he is developing at a typical pace, how old is Eli?"
Professional/Other (Complex),moral_scenarios,"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | When I went through the road block I gave the policeman my brothers ID. Scenario 2 | I pulled the frightened patient's teeth after giving novacaine."
Professional/Other (Complex),professional_law,"A homeowner entered into a contract with an insurance company to purchase a fire insurance policy for her new home. The policy provided that the insurance company promised to pay up to $500,000 if the said house was destroyed by fire or fire-related explosion, while the homeowner promised to pay a quarterly premium of $400. The homeowner failed to make the last two quarterly payments before her house burned to the ground. The insurance company refused to pay the homeowner for the loss because of her failure to make the last premium payments. In an action by the homeowner against the insurance company to recover for the loss of her house, the homeowner's best theory of recovery is that"
Humanities/Social Sciences (Complex),philosophy,"Plato indicates that the knowledge of pure reason is preferable to conceptual understanding, because knowing that something is a certain kind of thing is not as good as knowing:"
STEM (Complex),high_school_biology,The sequence of amino acids in hemoglobin molecules of humans is more similar to the hemoglobin of chimpanzees than it is to the hemoglobin of dogs. This similarity suggests that
STEM (Complex),high_school_biology,A change in a neuron membrane potential from +50 millivolts to -70 millivolts is considered
Professional/Other (Complex),professional_law,"While shopping at a mall, a woman suffered injuries when an escalator malfunctioned, crushing her foot. The woman brings suit against the mall. At trial, she calls another shopper to testif' that he rode the same escalator just moments before the woman's accident and had to jump in the air at the last minute to avoid getting his foot crushed in the escalator. This testimony is"
STEM (Complex),high_school_biology,Darwin's mechanism of natural selection required long time spans in order to modify species. From whom did Darwin get the concept of Earth's ancient age?
Humanities/Social Sciences (Complex),high_school_psychology,"Within a multimethod model of assessment, child interviews are most helpful for which purpose?"
STEM (Complex),high_school_chemistry,"Nickel (Z = 28, A = 59) has a first ionization energy of 737 kJ/mol and a boiling point of 2913 °C, while Pt (Z = 78, A = 195) has a first ionization energy of 870 kJ/mol and a boiling point of 3825 °C. Which of the following are the most reasonable values of ionization energy and boiling point for palladium?"
Humanities/Social Sciences (Complex),high_school_psychology,"In the nature versus nurture debate, nature is most closely associated with"
Humanities/Social Sciences (Complex),high_school_macroeconomics,Which choice produces a faster rate of economic growth for the United States?
Humanities/Social Sciences (Complex),high_school_macroeconomics,Which of the following could cause the aggregate demand curve to shift to the left?
Professional/Other (Complex),professional_law,"A 26-year-old graduate student knew that a classmate was a staunch supporter of animal rights. As they were leaving class one afternoon, the graduate student walked beside the classmate and chanted, ""Animal experimentation is great. "" The classmate angrily confronted the graduate student and said, ""Let's settle this outside in a fist fight. "" The graduate student replied, ""You're on. ""The two students went outside and ""squared off. "" The graduate student threw the first punch and hit the classmate in the face with his bare fist. Unknown to the graduate student, the classmate placed a set of brass knuckles on his fist and hit the graduate student in the face with them. The force of the blow broke the graduate student's nose. It was later determined that the use of the brass knuckles inflicted exactly the same damage as if the classmate had hit the graduate student with his bare fist. The best argument for rejecting the defense of consent in an action by the graduate student for either assault or battery is that"
Humanities/Social Sciences (Complex),philosophy,"In Hobbes’s view, to say something is good is to say that:"
Professional/Other (Complex),moral_scenarios,"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I always gave extra credit on exams to those who had the right answers. Scenario 2 | I ignited the fireworks in the office building."
Professional/Other (Complex),moral_scenarios,"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I put cleaner in the gas tank to make more money. Scenario 2 | I carried her onto a bed of roses."
Professional/Other (Complex),management,How does lateral communication in an organisation occur?
Humanities/Social Sciences (Complex),high_school_psychology,"Odette is nearing her 70th birthday. Over the last year, she has suffered a loss of appetite and began to experience difficulty sleeping. She has lost interest in her favorite pastimes, gardening and bridge. Odette is most likely to be diagnosed as having"
Humanities/Social Sciences (Complex),high_school_world_history,"This question refers to the following information.
As for their men there is no sexual jealousy in them. And none of them derives his genealogy from his father but, on the contrary, from his maternal uncle. A man does not pass on inheritance except to the sons of his sister to the exclusion of his own sons. . . . They are Muslims keeping to the prayers, studying fiqh (Islamic jurisprudence) and learning the Qur'an by heart. With regard to their women, they are not modest in the presence of men; they do not veil themselves in spite of their perseverance in the prayers. He who wishes to marry among them can marry, but the women do not travel with the husband, and if one of them wanted to do that, she would be prevented by her family. The women there have friends and companions amongst men outside the prohibited degrees of marriage [i.e., other than brothers, fathers, etc.]. Likewise for the men, there are companions from amongst women outside the prohibited degrees. One of them would enter his house to find his wife with her companion and would not disapprove of that conduct.
—Adapted from an account by Ibn Battuta of his travels in Mali during the 1300s
What was the likely cause of women not wearing the veil?"
Humanities/Social Sciences (Complex),philosophy,"According to Kant, morality requires us to:"
Professional/Other (Complex),professional_law,"Fernandez is planning to attend an auction of the assets of Cross & Black, one of his major competitors who is liquidating. In the conduct of the auction, which of the following rules applies?"
Professional/Other (Complex),moral_scenarios,"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I often sell used books online that I borrowed from the library. Scenario 2 | My rent was due, so I had to sell my friend's guitar without telling her."
Professional/Other (Complex),professional_law,"A rancher, being owner in fee simpleconveyed the property by warranty deed to a woman. The woman gave her niece a mortgage on the ranch to secure a loan from the niece to the woman in the amount of $500,000. The mortgage was recorded immediately. Two years later, the woman conveyed the ranch to a farmer by quitclaim deed. The woman then defaulted on the mortgage, and the niece brought an in personam action against the farmer to recover the amount of the mortgage due. Assume that the woman's quitclaim deed to the farmer made no reference to the mortgage. The woman then defaulted on the mortgage, and the niece brought an in personam action against the farmer to recover the amount of the mortgage due. The mortgagee will probably"
Humanities/Social Sciences (Complex),philosophy,When using visual methods in a research project what should you take into consideration alongside the legal guidelines?
Humanities/Social Sciences (Complex),philosophy,How does Stevenson respond to the objection that his theory does not account for the kind of goodness that is objective and is known a priori?
STEM (Complex),high_school_computer_science,Which of the following programs is most likely to benefit from the use of a heuristic?
Professional/Other (Complex),professional_medicine,"A 43-year-old female presents to the office with a 2-month history of heat intolerance, weight loss, tachycardia, and diffuse goiter. Examination reveals exophthalmos, inflammation of the periorbital tissue and conjunctivae, a heart rate of 140/min, and warm, velvety skin. An MRI of the head and orbits will most likely reveal"
Professional/Other (Complex),professional_law,"An inventor developed a prototype of an automobile. engine that she believed was going to revolutionize the automotive industry because of the engine's fuel-efficient properties. As a wedding present to the inventor's brother, the inventor wrote on a wedding card she gave to her brother:""I hereby assign to you 20 percent of the net profits realized from the production and distribution of my automobile engine within the first year of production. ""The inventor then borrowed money from creditors and began to promote her automobile engine. She was contacted by a major automobile manufacturer about the possibility of using the engine in a new line of cars the manufacturer intended to release during the next calendar year. While on her way to meet with the representatives of the manufacturer, the inventor was killed in an automobile collision. The manufacturer then contracted with the executor of the inventor's estate to license the use of the automobile engine design for a 10-year period for $500,000, payable to the estate. The creditors from whom the inventor borrowed the money to promote her automobile engine have now attached the proceeds from the licensing agreement, which have so far been paid into the estate. The brother also asserts his assigned rights to a share of the proceeds. In subsequent actions by the creditors and the brother, the court will most probably hold in favor of"
Humanities/Social Sciences (Complex),high_school_macroeconomics,The standard of living is measured by
Humanities/Social Sciences (Complex),high_school_macroeconomics,"The ""crowding-out"" effect refers to which of the following?"
Professional/Other (Complex),professional_law,"Congress recently enacted a statute permitting a governmental agency to make a gift of federal property to private individuals or organizations, provided that it be used ""to further good relations and better understanding with foreign governments. ""The Secretary of Defense planned to give an old military cargo plane to a national organization who supports future pilots. Before making the gift, the Secretary was approached by the head of a church. The church leader indicated that he would be sponsoring a worldwide crusade and suggested to the Secretary that such an undertaking would serve to strengthen relations with foreign governments. The Secretary donated the plane to the church instead of the organization. Who would have the best standing to challenge the Secretary's action?"
Professional/Other (Complex),professional_law,"Bill, a single man, owned pasture land in Deerwoods, Florida, which he leased to a tenant. He also owned a condominium in Miami, which he held for investment. In his will, he devised the pasture land to his son Tommy and the condominium to his daughter Julie. All other assets would pass equally to Tommy and Julie. Bill met Kathy and married her after she executed a valid prenuptial agreement relinquishing all rights she might otherwise enjoy by marrying Bill. On their Miami honeymoon they drove by the condominium and Kathy declared she'd love to live there. Bill was so happy with Kathy that after the honeymoon he signed and delivered to Kathy a deed conveying the condominium to himself and Kathy as an estate by the entirety and made plans to live in the condominium as soon as the tenant vacated. Bill died the next day. How are the foregoing assets distributed?"
STEM (Complex),high_school_biology,"If a couple has had three sons and the woman is pregnant with their fourth child, what is the probability that child 4 will also be male?"
Humanities/Social Sciences (Complex),high_school_macroeconomics,The tax multiplier increases in magnitude when
Humanities/Social Sciences (Complex),sociology,One of the ethical problems with covert participant observation is:
Humanities/Social Sciences (Complex),high_school_psychology,A severely overweight rat would most likely result from lesioning of the
Professional/Other (Complex),moral_scenarios,"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I brought a knife with me when I went camping. Scenario 2 | I had sex at work."
STEM (Complex),high_school_chemistry,Examining data obtained from mass spectrometry supports which of the following?
Professional/Other (Complex),professional_law,"A law student and two friends were at a mall peacefully handing out fliers in protest of U.S. Middle East policy. The mall owner called the police, who warned them to stop or they would be arrested. They returned the next day and continued to leaflet. The police came again and issued another warning. The law student left to avoid arrest, but the police arrested his companions for criminal trespass and loitering. The law student, in an attempt to get an advance ruling on the constitutionality of the criminal statutes, filed a declaratory judgment action in federal court asking for declaratory relief. Based on Supreme Court precedent will the federal district court dismiss the declaratory judgment action?"
Humanities/Social Sciences (Complex),high_school_psychology,Erikson's initiative versus guilt stage is most closely related to Freud's
Professional/Other (Complex),professional_medicine,"A 3-year-old boy with chronic granulomatous disease is brought to the physician because of a 3-week history of fever and warm, red lumps under both arms. His temperature is 38°C (100.4°F). Physical examination shows enlarged, 3-cm, erythematous axillary lymph nodes bilaterally. On palpation, the nodes are tender, fluctuant, and movable. Examination of a fine-needle aspirate from one of the nodes shows gram-positive cocci in clusters. Cultures of the aspirate grow yellow, βhemolytic colonies that are catalase and coagulase positive. A polymerase chain reaction test shows mecA-positive organisms. Which of the following is the most appropriate pharmacotherapy for this patient?"
Humanities/Social Sciences (Complex),high_school_world_history,"This question refers to the following information.
""To slacken the tempo would mean falling behind. And those who fall behind get beaten. But we do not want to be beaten. No, we refuse to be beaten! One feature of the history of old Russia was the continual beatings she suffered because of her backwardness. She was beaten by the Mongol khans. She was beaten by the Turkish beys. She was beaten by the Swedish feudal lords. She was beaten by the Polish and Lithuanian gentry. She was beaten by the British and French capitalists. She was beaten by the Japanese barons. All beat her––because of her backwardness, because of her military backwardness, cultural backwardness, political backwardness, industrial backwardness, agricultural backwardness. They beat her because it was profitable and could be done with impunity. You remember the words of the pre-revolutionary poet: ""You are poor and abundant, mighty and impotent, Mother Russia."" Those gentlemen were quite familiar with the verses of the old poet. They beat her, saying: ""You are abundant,"" so one can enrich oneself at your expense. They beat her, saying: ""You are poor and impotent,"" so you can be beaten and plundered with impunity. Such is the law of the exploiters––to beat the backward and the weak. It is the jungle law of capitalism. You are backward, you are weak––therefore you are wrong; hence you can be beaten and enslaved. You are mighty––therefore you are right; hence we must be wary of you.
That is why we must no longer lag behind.""
Joseph Stalin, speech delivered at the first All-Union Conference of Leading Personnel of Socialist Industry, February 4, 1931
The speech as a whole is best understood in the context of which of the following historical developments?"
Professional/Other (Complex),professional_law,"The state charged the accused with the intentional murder of a former girlfriend. He admitted to killing her, but asserted that he lacked the intent to murder, due to his suffering from a personality disorder complicated by two days of drinking alcohol heavily. The trial judge instructed the jury that ""the law presumes that a person intends the ordinary consequences of his voluntary acts."" The judge did not tell them that they had a choice or could infer another conclusion; they were told only that the law presumed it. The accused was convicted of depraved heart murder and sentenced to 100 years in prison. On appeal, the appellant argued that the court took the fact-finding task of determining criminal intent out of the jury's hands by in effect ordering them to find intent. The jury could have felt that they were being told that they had no other choice. The state supreme court affirmed the conviction, but the United States Supreme Court granted certiorari. Will the Court likely reverse the conviction?"
Humanities/Social Sciences (Complex),high_school_world_history,"This question refers to the following information.
""MAHATMA GANDHI'S MESSAGE.
REMAIN NON-VIOLENT
The following message was sent by Mahatma Gandhi from Waltair:—
Maulana Mohamed AH was arrested at Waltair under sections 107 and 108 to be called upon to give security, to be of good behaviour for one year. The place and date of trial is unknown.
The Begum Saheba and Mr. Hayat were permitted to see him after arrest.
He and I were going to address a meeting outside the station. He was arrested. I continued going to the meeting and addressed them. There is no cause for sorrow, but every cause for congratulation. There should be no hartal. Perfect peace and calmness should be observed. I regard the arrest as a prelude to Swaraj and the redress of the Khilafat and the Punjab wrongs, if we can remain non-violent. Retain Hindu-Muslim Unity despite the madness of some Moplahs, and fulfil the Swadeshi programme.
I hope every Indian, man or woman, will completely boycott foreign cloth and take up spinning or weaving during every spare minute.
By striving like the Maulana, be insistent on religious and national rights.
Let us earn imprisonment. I am conscious of the Maulana's innocence and I am sure the imprisonment of the innocent will enable the nation to reach the cherished goal.""
Mohandas Gandhi, The Pilgrims' March, 1921
Which of the following historical developments from the period 1450–1750 C.E. most inspired the instructions indicated in the fifth paragraph to boycott foreign cloth?"
Professional/Other (Complex),professional_law,"A 15-year-old boy was sledding down a pathway through a wooded area of land owned by a woman. The boy had frequently used the pathway for sledding in the previous months. The path, made of concrete, led through the woods from a public highway to a pond in the rear of the woman's property. The pathway was used for sledding and the pond for skating by the residents of the neighboring areas, without the consent of the woman. Furthermore, the woman failed to post any signs forbidding trespassing. After the boy had been sledding down the pathway for approximately three hours one morning, he lost control of the sled, and steered it into a tree. The boy suffered serious injuries in the crash. If a suit is brought on the boy's behalf against the woman for the boy's personal injuries, the plaintiff will"
Professional/Other (Complex),professional_law,"Over the years, a coin collector had amassed a large and valuable collection. On May 1, the collector sent the following letter to a retailer who had long coveted the collector's coin collection:""I've decided to part with my coin collection. Since you've always been interested in purchasing my collection for your store, I'll sell you my entire collection for $50,000. You have until May 15 to make up your mind. ""The retailer received this letter on May 3. On May 10, without notif'ing the retailer, the collector sold her coin collection to a novice collector, for $60,000. The next day, the collector sent a letter to the retailer, regretfully informing him that she had sold the coin collection. This letter was received by the retailer on May 13. However, on May 12, the retailer read an article on the internet, published by a reputable site that reports coin collecting news, concerning the collector's sale of her coin collection to the novice collector. After reading the article, the retailer immediately sent an e-mail to the collector accepting her offer to buy the coin collection. This e-mail was read by the collector that same afternoon, May 12. In all likelihood was the retailer's e-mail to the collector on May 12 effective as an acceptance?"
Humanities/Social Sciences (Complex),high_school_macroeconomics,Use the following three responses to answer the question: Fiscal policy is not always effective because of I. crowding out. II. rational expectations. III. the balanced budget amendment.
Professional/Other (Complex),professional_law,There is a grand jury proceeding underway for a local businessman. What is not true about grand jury proceedings?
Professional/Other (Complex),professional_law,"In 1985, a landowner, the undisputed owner of an apartment building, leased it to a tenant for a term of seven years. Rent was to be paid in installments due on the first day of each month. One year later, in 1986, the landowner died leaving no heirs. In her will, the landowner left her entire estate to the Girl Scouts of America. The apartment building was not specifically mentioned in the will. One month after the landowner died, the tenant, having learned of the landowner's death, decided to remain on the property, but stopped paying rent. The Girl Scouts of America organization was unaware of the landowner's gift to the organization until 2009, when attorneys for the organization conducted an inventory of testamentary gifts to the Girl Scouts of America, which revealed that they had a claim to ownership of the apartment building. The statutory period for adverse possession in this jurisdiction is 20 years. In an ejection action by the Girl Scouts of America against the tenant, the organization will prevail"
Professional/Other (Complex),management,What is the term for power derived from status or position in an organisation?
Professional/Other (Complex),professional_law,"As part of an externship program conducted by his law school, a law student went to work for a lawyer as a clerk. After six months, the lawyer was very impressed with the law student's work. He called the law student into his office and told him, ""I know you were only to work for me for six months in exchange for credit in your law school extemship program. However, I'd like you to stay on as a clerk. I'll pay you $25 an hour for any work you do for me between now and the bar exam. In addition, if you put in a minimum of 10 hours per week during that time, I promise to hire you full-time as an associate when you pass the bar exam. "" The attorney then reduced this agreement to writing, which both he and the law student signed. The law student continued to work for the lawyer throughout the rest of his law school career and while he was studying for the bar exam. During that time, the law student always worked a minimum of 10 hours per week. While the law student was awaiting the results of the bar exam, his uncle passed away and left him a large apartment building. The law student decided he did not want to practice law but wanted to spend all of his time managing the apartment building. He told his roommate, a fellow law student who was awaiting his bar results, about his plans and told the roommate he would assign to the roommate the right to be hired by the lawyer as an associate, in exchange for $100. The roommate paid the $100 to the law student, who then executed a written assignment of the right to be hired by the lawyer as an associate. The roommate passed the bar exam, but the lawyer refused to hire him as an associate. Which of the following is the most accurate statement regarding the legal effect of this assignment?"
