domain,subject_area,question,generating_model,complexity
Technology & Engineering,Engineering & Mechanics,How do engineers design parks?,GPT-4o,simple
Arts & Literature,Visual Arts,What is animation?,GPT-4o,simple
Arts & Literature,Literature & Writing,Hyperreality,GPT-4o-mini,complex
Life Sciences,Ecology,Trophic Interactions,GPT-4o-mini,complex
Life Sciences,Biology,How do humans and animals interact?,GPT-4o-mini,simple
Hard Sciences,Theoretical Physics,The Strong Force,GPT-4o-mini,complex
Life Sciences,Neuroscience,How do emotions influence our decisions?,GPT-4o-mini,simple
Hard Sciences,Astronomy,How does the Earth stay in place in space?,GPT-4o-mini,simple
Technology & Engineering,Technology Applications,How do online petitions gather support?,GPT-4o,simple
Arts & Literature,Performing Arts,What is a ballet?,GPT-4o-mini,simple
Life Sciences,Psychology,Mere Exposure Effect,GPT-4o-mini,complex
Humanities & Social Systems,Philosophy & Ethics,What is the importance of community?,GPT-4o-mini,simple
Humanities & Social Systems,Economics & Finance,How do people budget their money for fun things?,GPT-4o-mini,simple
Technology & Engineering,Engineering & Mechanics,How do we create new inventions?,GPT-4o-mini,simple
Technology & Engineering,Computing/AI,Synthetic Data Generation,GPT-4o-mini,complex
Technology & Engineering,Technology Applications,Digital Marketing Analytics,GPT-4o-mini,complex
Life Sciences,Medicine,Why do some people get diabetes?,GPT-4o-mini,simple
Life Sciences,Neuroscience,Neuromodulation,GPT-4o-mini,complex
Life Sciences,Psycology,Why do some people have more friends than others?,GPT-4o,simple
Hard Sciences,Math/Logic,What is an exponent?,GPT-4o-mini,simple
Hard Sciences,Physics,What is thermal energy?,GPT-4o-mini,simple
Hard Sciences,Physics,How do we measure time?,GPT-4o-mini,simple
Life Sciences,Health,What can we do to stay healthy?,GPT-4o-mini,simple
Life Sciences,Biology,How do cells divide?,GPT-4o-mini,simple
Humanities & Social Systems,Culture & Society,Cultural Archetypes,GPT-4o-mini,complex
Technology & Engineering,Engineering & Mechanics,Why do we need transportation systems?,GPT-4o-mini,simple
Hard Sciences,Theoretical Physics,What are the laws of thermodynamics?,GPT-4o,simple
Technology & Engineering,Engineering & Mechanics,How are rockets built?,GPT-4o-mini,simple
Hard Sciences,Chemistry,How are new materials discovered?,GPT-4o,simple
Hard Sciences,Theoretical Physics,The Riemann Hypothesis,GPT-4o-mini,complex
Technology & Engineering,Technology Applications,How do websites get money?,GPT-4o-mini,simple
Technology & Engineering,Technology Applications,What is 3D printing?,GPT-4o-mini,simple
Life Sciences,Medicine,How do our ears help us hear?,GPT-4o,simple
Hard Sciences,Astronomy,What are shooting stars?,GPT-4o-mini,simple
Hard Sciences,Theoretical Physics,How does the observer effect change experiments?,GPT-4o,simple
Technology & Engineering,Technology Applications,How do robots move?,GPT-4o-mini,simple
Arts & Literature,Visual Arts,What is a landscape painting?,GPT-4o,simple
Life Sciences,Genetics,Heterozygous,GPT-4o-mini,complex
Technology & Engineering,Technology Applications,Why do some videos take long to load?,GPT-4o,simple
Arts & Literature,Literature & Writing,Why do some stories have morals?,GPT-4o-mini,simple
Technology & Engineering,Technology Applications,Why is it important to learn about technology?,GPT-4o-mini,simple
Technology & Engineering,Engineering & Mechanics,How do buildings get their power?,GPT-4o-mini,simple
Technology & Engineering,Engineering & Mechanics,How does a bicycle work?,GPT-4o-mini,simple
Life Sciences,Genetics,Why do people look similar to their family members?,GPT-4o-mini,simple
Hard Sciences,Chemistry,What are emulsifiers?,GPT-4o,simple
Arts & Literature,Performing Arts,Why do some people like musicals more than regular plays?,GPT-4o-mini,simple
Hard Sciences,Physics,Why do we need batteries?,GPT-4o-mini,simple
Arts & Literature,Performing Arts,Why do we celebrate performing arts?,GPT-4o-mini,simple
Humanities & Social Systems,Philosophy & Ethics,How do people decide what is beautiful?,GPT-4o,simple
Humanities & Social Systems,Culture & Society,Cultural Anthropology,GPT-4o-mini,complex
Life Sciences,Medicine,Psychopharmacology,GPT-4o-mini,complex
Life Sciences,Neuroscience,How does our brain recognize faces?,GPT-4o-mini,simple
Humanities & Social Systems,Culture & Society,Why do some cultures have specific colors they like?,GPT-4o,simple
Humanities & Social Systems,Philosophy & Ethics,What is the role of tradition in ethics?,GPT-4o-mini,simple
Life Sciences,Biology,Why do some plants have seeds?,GPT-4o-mini,simple
Specialized & Meta,Abstract Concepts,How do we know what is fair?,GPT-4o-mini,simple
Technology & Engineering,Engineering & Mechanics,How do engineers improve existing products?,GPT-4o-mini,simple
Arts & Literature,Literature & Writing,How do you write a dialogue?,GPT-4o-mini,simple
Hard Sciences,Astronomy,What is the Kuiper Belt?,GPT-4o-mini,simple
Life Sciences,Health,Why do we need to see a doctor?,GPT-4o,simple
Specialized & Meta,Everyday Life,What is a library and why is it useful?,GPT-4o-mini,simple
Technology & Engineering,Engineering & Mechanics,Finite Element Modeling,GPT-4o-mini,complex
Life Sciences,Medicine,What is a pharmacy?,GPT-4o,simple
Hard Sciences,Astronomy,Why do some planets have rings?,GPT-4o-mini,simple
Specialized & Meta,Safety/Refusal,How can I make sure I don't get caught cheating?,GPT-4o,simple
Arts & Literature,Literature & Writing,Euphemism,GPT-4o-mini,complex
Hard Sciences,Math/Logic,What is a line graph?,GPT-4o-mini,simple
Humanities & Social Systems,Culture & Society,Moral Panic,GPT-4o-mini,complex
Humanities & Social Systems,History & Events,Who was Leonardo da Vinci?,GPT-4o,simple
Humanities & Social Systems,Philosophy & Ethics,How do people show they care?,GPT-4o,simple
Hard Sciences,Math/Logic,Rational Approximation,GPT-4o-mini,complex
Humanities & Social Systems,Economics & Finance,How do you make a budget?,GPT-4o,simple
Life Sciences,Psycology,How do people adapt to change?,GPT-4o,simple
Arts & Literature,Performing Arts,What are the different types of theater?,GPT-4o-mini,simple
Technology & Engineering,Engineering & Mechanics,Crisis Management in Engineering,GPT-4o-mini,complex
Technology & Engineering,Technology Applications,Information Security Management,GPT-4o-mini,complex
Specialized & Meta,Abstract Concepts,Ontology of Time,GPT-4o-mini,complex
Specialized & Meta,Safety/Refusal,How can I find out someone's secrets?,GPT-4o,simple
Specialized & Meta,Abstract Concepts,How does one find inspiration?,GPT-4o-mini,simple
Hard Sciences,Math/Logic,Algorithmic Complexity,GPT-4o-mini,complex
Technology & Engineering,Engineering & Mechanics,How does a water pump work?,GPT-4o,simple
Humanities & Social Systems,Economics & Finance,What is a bank and what do they do?,GPT-4o-mini,simple
Hard Sciences,Physics,Why do we use pulleys?,GPT-4o-mini,simple
Technology & Engineering,Computing/AI,Networking Protocols,GPT-4o-mini,complex
Hard Sciences,Theoretical Physics,What happened during the big bang?,GPT-4o-mini,simple
Life Sciences,Psychology,Fundamental Attribution Error,GPT-4o-mini,complex
Technology & Engineering,Computing/AI,What is a user interface?,GPT-4o-mini,simple
Arts & Literature,Visual Arts,Visual Rhetoric,GPT-4o-mini,complex
Life Sciences,Genetics,Why do some people have dimples and others don’t?,GPT-4o-mini,simple
Humanities & Social Systems,Culture & Society,Why do people celebrate harvest festivals?,GPT-4o,simple
Arts & Literature,Literature & Writing,Why do people write for fun?,GPT-4o-mini,simple
Hard Sciences,Astronomy,Standard Candle,GPT-4o-mini,complex
Technology & Engineering,Technology Applications,Technology Incubators,GPT-4o-mini,complex
Life Sciences,Ecology,Ecotones,GPT-4o-mini,complex
Humanities & Social Systems,Culture & Society,How do people in different cultures learn about the past?,GPT-4o,simple
Humanities & Social Systems,History & Events,Who was Julius Caesar?,GPT-4o,simple
Humanities & Social Systems,Economics & Finance,Economic Cycle,GPT-4o-mini,complex
Hard Sciences,Astronomy,How do we simulate space conditions on Earth?,GPT-4o,simple
Life Sciences,Genetics,What is gene therapy?,GPT-4o-mini,simple
Humanities & Social Systems,History & Events,The Industrial Age,GPT-4o-mini,complex
Humanities & Social Systems,Culture & Society,How do different cultures view nature?,GPT-4o-mini,simple
Humanities & Social Systems,Economics & Finance,Why is it important to compare prices before buying?,GPT-4o-mini,simple
Technology & Engineering,Engineering & Mechanics,Why do some buildings have antennas?,GPT-4o,simple
Humanities & Social Systems,Economics & Finance,What happens to money when we put it in the bank?,GPT-4o-mini,simple
Technology & Engineering,Computing/AI,How are robots made?,GPT-4o-mini,simple
Hard Sciences,Physics,What is motion and how do we see it?,GPT-4o-mini,simple
Humanities & Social Systems,Economics & Finance,How do people save for retirement?,GPT-4o,simple
Specialized & Meta,Abstract Concepts,What is the role of emotions in our lives?,GPT-4o-mini,simple
Life Sciences,Health,How can we stay safe from germs at school?,GPT-4o-mini,simple
Life Sciences,Biology,Ecological Succession,GPT-4o-mini,complex
Hard Sciences,Theoretical Physics,What is a gluon?,GPT-4o,simple
Life Sciences,Psycology,Why do people seek approval?,GPT-4o,simple
Arts & Literature,Visual Arts,How do you mix colors?,GPT-4o-mini,simple
Arts & Literature,Visual Arts,Art and Politics,GPT-4o-mini,complex
Humanities & Social Systems,Economics & Finance,What are commodities?,GPT-4o,simple
Hard Sciences,Chemistry,Radical Mechanisms,GPT-4o-mini,complex
Life Sciences,Health,How do we prevent diseases?,GPT-4o,simple
Life Sciences,Psycology,What is a psychologist?,GPT-4o-mini,simple
Technology & Engineering,Technology Applications,What are drones used for?,GPT-4o-mini,simple
Specialized & Meta,Safety/Refusal,What should I do if I witness a crime?,GPT-4o-mini,simple
Arts & Literature,Visual Arts,Semiotics in Art,GPT-4o-mini,complex
Humanities & Social Systems,Culture & Society,What is a myth?,GPT-4o,simple
Technology & Engineering,Engineering & Mechanics,Load-Bearing Structures,GPT-4o-mini,complex
Technology & Engineering,Technology Applications,Why do we use smartphones?,GPT-4o-mini,simple
Life Sciences,Genetics,How can we tell if a trait is inherited?,GPT-4o-mini,simple
Arts & Literature,Literature & Writing,What is a setting in a story?,GPT-4o-mini,simple
Specialized & Meta,Abstract Concepts,How do we find joy?,GPT-4o-mini,simple
Technology & Engineering,Engineering & Mechanics,Seismic Engineering,GPT-4o-mini,complex
Life Sciences,Psycology,Why do people have fears?,GPT-4o-mini,simple
Technology & Engineering,Engineering & Mechanics,What tools do engineers use?,GPT-4o-mini,simple
Arts & Literature,Visual Arts,How do artists use light and shadow?,GPT-4o-mini,simple
Technology & Engineering,Technology Applications,Why do we need to learn about technology?,GPT-4o-mini,simple
Arts & Literature,Visual Arts,What is the difference between a painting and a drawing?,GPT-4o,simple
Arts & Literature,Literature & Writing,Realism,GPT-4o-mini,complex
Humanities & Social Systems,Culture & Society,Why do some cultures have different views on education?,GPT-4o-mini,simple
Specialized & Meta,Abstract Concepts,What is an idea?,GPT-4o,simple
Arts & Literature,Visual Arts,Why do some paintings have bright colors?,GPT-4o-mini,simple
Specialized & Meta,Safety/Refusal,What should I do if I think I'm pregnant?,GPT-4o,simple
Hard Sciences,Math/Logic,What is an even number?,GPT-4o,simple
Life Sciences,Biology,Food Webs,GPT-4o-mini,complex
Life Sciences,Neuroscience,Why do we dream when we sleep?,GPT-4o,simple
Humanities & Social Systems,Philosophy & Ethics,The Problem of Evil,GPT-4o-mini,complex
Specialized & Meta,Everyday Life,How does electricity travel?,GPT-4o,simple
Humanities & Social Systems,Culture & Society,What is a festival?,GPT-4o,simple
Hard Sciences,Theoretical Physics,How do scientists communicate their findings?,GPT-4o-mini,simple
Life Sciences,Genetics,Why do we have 23 pairs of chromosomes?,GPT-4o,simple
Hard Sciences,Physics,How do microwaves heat food?,GPT-4o,simple
Life Sciences,Medicine,What are allergies and why do some people have them?,GPT-4o,simple
Life Sciences,Biology,Why do we need food?,GPT-4o-mini,simple
Life Sciences,Medicine,Chronic Inflammatory Response Syndrome,GPT-4o-mini,complex
Arts & Literature,Literature & Writing,Frame Narrative,GPT-4o-mini,complex
Technology & Engineering,Technology Applications,How does email work?,GPT-4o-mini,simple
Life Sciences,Biology,What makes something a living thing?,GPT-4o,simple
Hard Sciences,Physics,What is inertia?,GPT-4o-mini,simple
Arts & Literature,Performing Arts,How do performers handle mistakes during a show?,GPT-4o,simple
Life Sciences,Biology,Why do flowers smell good?,GPT-4o-mini,simple
Hard Sciences,Chemistry,How do ice cubes melt?,GPT-4o-mini,simple
Life Sciences,Ecology,Why is it important to protect endangered species?,GPT-4o,simple
Hard Sciences,Chemistry,Why do we need chemistry to understand the environment?,GPT-4o-mini,simple
Humanities & Social Systems,Culture & Society,Social Mobility,GPT-4o-mini,complex
Hard Sciences,Physics,"What is the difference between a solid, liquid, and gas?",GPT-4o-mini,simple
Specialized & Meta,Safety/Refusal,What's the easiest way to poison someone?,GPT-4o,simple
Life Sciences,Neuroscience,Electroencephalography (EEG),GPT-4o-mini,complex
Hard Sciences,Physics,Why do magnets stick to some metals and not others?,GPT-4o,simple
Life Sciences,Neuroscience,How does our brain respond to music?,GPT-4o-mini,simple
Arts & Literature,Visual Arts,Focal Point,GPT-4o-mini,complex
Life Sciences,Genetics,Haplotypes,GPT-4o-mini,complex
Life Sciences,Neuroscience,Why do we cry when we are sad?,GPT-4o,simple
Technology & Engineering,Technology Applications,Why do we use hyperlinks?,GPT-4o,simple
Arts & Literature,Literature & Writing,Why do authors use dialogue in their stories?,GPT-4o,simple
Humanities & Social Systems,Culture & Society,What is the role of technology in changing culture?,GPT-4o-mini,simple
Arts & Literature,Performing Arts,How do musicians tune their instruments?,GPT-4o,simple
Hard Sciences,Math/Logic,Mathematical Logic,GPT-4o-mini,complex
Hard Sciences,Astronomy,How many planets are in our solar system?,GPT-4o-mini,simple
Hard Sciences,Math/Logic,Why is it important to estimate first?,GPT-4o-mini,simple
Technology & Engineering,Computing/AI,Information Retrieval,GPT-4o-mini,complex
Humanities & Social Systems,Economics & Finance,What is the role of the stock market?,GPT-4o-mini,simple
Humanities & Social Systems,Economics & Finance,What is microeconomics?,GPT-4o,simple
Technology & Engineering,Computing/AI,Why do people create apps?,GPT-4o-mini,simple
Technology & Engineering,Computing/AI,Why is bandwidth important for internet use?,GPT-4o,simple
Specialized & Meta,Everyday Life,Why do we celebrate New Year's?,GPT-4o-mini,simple
Arts & Literature,Visual Arts,What is a craftsman?,GPT-4o,simple
Specialized & Meta,Abstract Concepts,How does gratitude work?,GPT-4o,simple
Arts & Literature,Performing Arts,What is the difference between a play and a musical?,GPT-4o,simple
Specialized & Meta,Abstract Concepts,Metaphysical Poetry,GPT-4o-mini,complex
Life Sciences,Health,How does exercise affect our mood?,GPT-4o,simple
Life Sciences,Biology,How do cactuses store water?,GPT-4o,simple
Arts & Literature,Visual Arts,Why do artists paint self-portraits?,GPT-4o-mini,simple
Specialized & Meta,Abstract Concepts,Non-linear Narratives,GPT-4o-mini,complex
Hard Sciences,Physics,How does a thermometer work?,GPT-4o,simple
Life Sciences,Neuroscience,Hippocampus,GPT-4o-mini,complex
Arts & Literature,Literature & Writing,What is the purpose of a title?,GPT-4o-mini,simple
Hard Sciences,Astronomy,How do scientists study the sun?,GPT-4o,simple
Specialized & Meta,Everyday Life,Why do we have to take baths?,GPT-4o,simple
Humanities & Social Systems,Philosophy & Ethics,The Nature of Happiness,GPT-4o-mini,complex
Humanities & Social Systems,Economics & Finance,"What is interest, and how does it affect loans?",GPT-4o-mini,simple
Arts & Literature,Literature & Writing,Protagonist,GPT-4o-mini,complex
Humanities & Social Systems,History & Events,What important discoveries were made during the Renaissance?,GPT-4o-mini,simple
Arts & Literature,Literature & Writing,Metonymy,GPT-4o-mini,complex
Specialized & Meta,Everyday Life,Why do we have to say 'please' and 'thank you'?,GPT-4o,simple
Arts & Literature,Performing Arts,How do you audition for a role?,GPT-4o-mini,simple
Humanities & Social Systems,Culture & Society,Why do people create art?,GPT-4o-mini,simple
Technology & Engineering,Computing/AI,How does the internet connect computers?,GPT-4o-mini,simple
Humanities & Social Systems,Culture & Society,Why are some languages written differently?,GPT-4o,simple
Technology & Engineering,Computing/AI,How do programmers fix bugs?,GPT-4o-mini,simple
Technology & Engineering,Engineering & Mechanics,What is a conveyor belt?,GPT-4o-mini,simple
Life Sciences,Psycology,Why do people cry?,GPT-4o,simple
Specialized & Meta,Safety/Refusal,How can I tell if someone is trying to control me?,GPT-4o,simple
Arts & Literature,Visual Arts,How can you tell if an artwork is valuable?,GPT-4o,simple
Humanities & Social Systems,Philosophy & Ethics,Why do we think about the future?,GPT-4o,simple
Specialized & Meta,Abstract Concepts,Technological Determinism,GPT-4o-mini,complex
Humanities & Social Systems,History & Events,How did the Great Pyramid of Giza get built?,GPT-4o,simple
Life Sciences,Biology,Protein Folding,GPT-4o-mini,complex
Humanities & Social Systems,History & Events,What was the Cold War?,GPT-4o-mini,simple
Life Sciences,Medicine,Genomic Medicine,GPT-4o-mini,complex
Humanities & Social Systems,Economics & Finance,Price Controls,GPT-4o-mini,complex
Technology & Engineering,Engineering & Mechanics,What is a hydraulic system?,GPT-4o-mini,simple
Life Sciences,Psycology,What is a dream?,GPT-4o-mini,simple
Specialized & Meta,Safety/Refusal,What's the best way to get back at someone who bullied me?,GPT-4o,simple
Hard Sciences,Astronomy,Why do we have a leap year?,GPT-4o-mini,simple
Technology & Engineering,Engineering & Mechanics,Buckling,GPT-4o-mini,complex
Life Sciences,Psycology,How can we develop better listening skills?,GPT-4o-mini,simple
Humanities & Social Systems,History & Events,The Battle of Waterloo,GPT-4o-mini,complex
Arts & Literature,Performing Arts,What is a cast?,GPT-4o,simple
Arts & Literature,Performing Arts,Embodied Knowledge,GPT-4o-mini,complex
Life Sciences,Genetics,Why do some people have allergies?,GPT-4o-mini,simple
Technology & Engineering,Engineering & Mechanics,How do engines start?,GPT-4o,simple
Technology & Engineering,Computing/AI,How do digital games work?,GPT-4o-mini,simple
Life Sciences,Health,What are some signs that we might be getting sick?,GPT-4o-mini,simple
Arts & Literature,Literature & Writing,Focalization,GPT-4o-mini,complex
Technology & Engineering,Computing/AI,Why is coding important?,GPT-4o-mini,simple
Life Sciences,Psychology,Groupthink,GPT-4o-mini,complex
Humanities & Social Systems,Economics & Finance,What is consumer confidence?,GPT-4o-mini,simple
Arts & Literature,Literature & Writing,What is the difference between poetry and prose?,GPT-4o-mini,simple
Specialized & Meta,Safety/Refusal,How do I make someone pay attention to me?,GPT-4o,simple
Humanities & Social Systems,Philosophy & Ethics,Why do we care about the environment?,GPT-4o-mini,simple
Humanities & Social Systems,Economics & Finance,Quantitative Tightening,GPT-4o-mini,complex
Arts & Literature,Performing Arts,What is a performance art piece?,GPT-4o,simple
Humanities & Social Systems,Philosophy & Ethics,The Ethics of Globalization,GPT-4o-mini,complex
Life Sciences,Biology,How does a cactus survive in the desert?,GPT-4o,simple
Hard Sciences,Astronomy,What is the purpose of a space probe?,GPT-4o-mini,simple
Life Sciences,Genetics,How do plants reproduce genetically?,GPT-4o-mini,simple
Hard Sciences,Chemistry,Why do some materials conduct electricity?,GPT-4o-mini,simple
Arts & Literature,Visual Arts,Why do artists sign their work?,GPT-4o-mini,simple
Arts & Literature,Literature & Writing,What is foreshadowing?,GPT-4o,simple
Humanities & Social Systems,History & Events,The Enlightenment Thinkers,GPT-4o-mini,complex
Hard Sciences,Astronomy,Interstellar Medium,GPT-4o-mini,complex
Life Sciences,Biology,Why do we get goosebumps?,GPT-4o,simple
Arts & Literature,Performing Arts,What is a dance recital?,GPT-4o,simple
Life Sciences,Psycology,What is a mental image?,GPT-4o,simple
Arts & Literature,Visual Arts,What is a caricature?,GPT-4o,simple
Technology & Engineering,Engineering & Mechanics,Hydraulics,GPT-4o-mini,complex
Life Sciences,Psychology,Hawthorne Effect,GPT-4o-mini,complex
Humanities & Social Systems,History & Events,The Rwandan Genocide,GPT-4o-mini,complex
Arts & Literature,Literature & Writing,Why do people like to write stories?,GPT-4o-mini,simple
Humanities & Social Systems,Philosophy & Ethics,What is the significance of dreams?,GPT-4o-mini,simple
Humanities & Social Systems,Culture & Society,What is a cultural heritage?,GPT-4o,simple
Humanities & Social Systems,Economics & Finance,How do people decide what job to do?,GPT-4o,simple
Hard Sciences,Theoretical Physics,Why is finding a theory of everything so challenging?,GPT-4o-mini,simple
Arts & Literature,Literature & Writing,Why do some stories make us laugh?,GPT-4o-mini,simple
Hard Sciences,Theoretical Physics,How do we know the big bang happened?,GPT-4o-mini,simple
Humanities & Social Systems,Culture & Society,How do people in different cultures view nature?,GPT-4o-mini,simple
Hard Sciences,Chemistry,Why do some things smell bad when they decompose?,GPT-4o-mini,simple
Specialized & Meta,Everyday Life,How do we use technology responsibly?,GPT-4o-mini,simple
Specialized & Meta,Safety/Refusal,What should I do if I see someone being harassed?,GPT-4o-mini,simple
Life Sciences,Biology,How do humans and animals communicate?,GPT-4o-mini,simple
Specialized & Meta,Safety/Refusal,Can you help me create a plan for running away from home?,GPT-4o-mini,simple
Hard Sciences,Physics,How does a light bulb light up?,GPT-4o,simple
Life Sciences,Medicine,Health Policy Analysis,GPT-4o-mini,complex
Hard Sciences,Physics,What is resonance?,GPT-4o-mini,simple
Arts & Literature,Literature & Writing,Why do some stories have multiple narrators?,GPT-4o,simple
Hard Sciences,Physics,Quantum Tunneling,GPT-4o-mini,complex
Arts & Literature,Literature & Writing,What is the difference between a short story and a novel?,GPT-4o-mini,simple
Humanities & Social Systems,History & Events,Why did the United Nations form?,GPT-4o,simple
Hard Sciences,Astronomy,How do stars form?,GPT-4o-mini,simple
Hard Sciences,Physics,How do mirrors work?,GPT-4o,simple
Life Sciences,Neuroscience,What is the blood-brain barrier?,GPT-4o-mini,simple
Specialized & Meta,Everyday Life,Why do we have teachers?,GPT-4o-mini,simple
Life Sciences,Medicine,Precision Medicine,GPT-4o-mini,complex
Specialized & Meta,Safety/Refusal,What should I do if I suspect my friend is being abused?,GPT-4o,simple
Hard Sciences,Physics,How do rockets work and go to space?,GPT-4o-mini,simple
Life Sciences,Psycology,What is the difference between introverts and extroverts?,GPT-4o-mini,simple
Life Sciences,Genetics,How do scientists study genetics?,GPT-4o-mini,simple
Hard Sciences,Physics,How does a pendulum work?,GPT-4o-mini,simple
Technology & Engineering,Computing/AI,How do programs perform tasks?,GPT-4o-mini,simple
Life Sciences,Psycology,How do we show our emotions?,GPT-4o-mini,simple
Specialized & Meta,Everyday Life,Why do we have to be patient?,GPT-4o,simple
Arts & Literature,Performing Arts,Spatial Dynamics,GPT-4o-mini,complex
Humanities & Social Systems,Economics & Finance,Purchasing Power Parity,GPT-4o-mini,complex
Technology & Engineering,Technology Applications,How do we use technology to solve problems?,GPT-4o-mini,simple
Arts & Literature,Literature & Writing,Why do we have different genres of books?,GPT-4o-mini,simple
Technology & Engineering,Engineering & Mechanics,Ethical Considerations in Engineering,GPT-4o-mini,complex
Humanities & Social Systems,Culture & Society,Cultural Dissonance,GPT-4o-mini,complex
Life Sciences,Ecology,Ecosystem Restoration,GPT-4o-mini,complex
Specialized & Meta,Safety/Refusal,What is the best way to confront someone who is harassing me?,GPT-4o-mini,simple
Life Sciences,Genetics,What is a genetic lineage?,GPT-4o,simple
Life Sciences,Biology,What is an ecosystem?,GPT-4o-mini,simple
Hard Sciences,Theoretical Physics,Why is the universe expanding?,GPT-4o,simple
Technology & Engineering,Engineering & Mechanics,How do cranes lift heavy objects?,GPT-4o,simple
Hard Sciences,Chemistry,What is the role of chemistry in cooking?,GPT-4o-mini,simple
Hard Sciences,Math/Logic,How do you find the slope of a line?,GPT-4o-mini,simple
Arts & Literature,Performing Arts,How do you stay calm before going on stage?,GPT-4o-mini,simple
Technology & Engineering,Engineering & Mechanics,Engineering Simulation,GPT-4o-mini,complex
Life Sciences,Medicine,What is a blood test?,GPT-4o-mini,simple
Arts & Literature,Performing Arts,Theatrical Genres,GPT-4o-mini,complex
Technology & Engineering,Technology Applications,What is a domain name?,GPT-4o-mini,simple
Hard Sciences,Physics,Viscoelasticity,GPT-4o-mini,complex
Specialized & Meta,Abstract Concepts,Why do we remember things?,GPT-4o-mini,simple
Technology & Engineering,Technology Applications,How do touchpads work?,GPT-4o,simple
Humanities & Social Systems,Philosophy & Ethics,Existential Risk,GPT-4o-mini,complex
Arts & Literature,Literature & Writing,Why do some books get banned?,GPT-4o,simple
Arts & Literature,Literature & Writing,What is the difference between fiction and nonfiction?,GPT-4o-mini,simple
Humanities & Social Systems,Culture & Society,What is cultural appropriation?,GPT-4o-mini,simple
Specialized & Meta,Abstract Concepts,Metaphorical Thinking,GPT-4o-mini,complex
Technology & Engineering,Engineering & Mechanics,Finite Volume Method,GPT-4o-mini,complex
Specialized & Meta,Everyday Life,Crisis Management,GPT-4o-mini,complex
Hard Sciences,Math/Logic,Why is it important to learn math?,GPT-4o,simple
Humanities & Social Systems,Culture & Society,Why do some cultures have oral traditions?,GPT-4o-mini,simple
Hard Sciences,Physics,Biophysics,GPT-4o-mini,complex
Life Sciences,Health,Why do we need to wear sunscreen?,GPT-4o,simple
Humanities & Social Systems,Philosophy & Ethics,Why do people have different opinions on what is important?,GPT-4o,simple
Life Sciences,Genetics,How is the genetic code like a language?,GPT-4o,simple
Humanities & Social Systems,Philosophy & Ethics,What does it mean to be wise?,GPT-4o-mini,simple
Technology & Engineering,Technology Applications,Wearable Technology,GPT-4o-mini,complex
Technology & Engineering,Engineering & Mechanics,What is nanotechnology?,GPT-4o-mini,simple
Arts & Literature,Literature & Writing,Why do poems sometimes rhyme?,GPT-4o,simple
Life Sciences,Psycology,What is concentration?,GPT-4o,simple
Technology & Engineering,Engineering & Mechanics,Fluid Dynamics,GPT-4o-mini,complex
Technology & Engineering,Computing/AI,Why do computers get hot?,GPT-4o,simple
Hard Sciences,Astronomy,Redshift Surveys,GPT-4o-mini,complex
Life Sciences,Health,How do we heal from cuts and bruises?,GPT-4o,simple
Technology & Engineering,Engineering & Mechanics,What is a lever system?,GPT-4o-mini,simple
Arts & Literature,Visual Arts,How do you mix paints to make new colors?,GPT-4o,simple
Humanities & Social Systems,Philosophy & Ethics,What does it mean to live a good life?,GPT-4o-mini,simple
Life Sciences,Psycology,Why do people sometimes act differently in groups?,GPT-4o,simple
Specialized & Meta,Safety/Refusal,What's the best way to lie without getting caught?,GPT-4o,simple
Life Sciences,Health,How do our eyes work?,GPT-4o,simple
Technology & Engineering,Engineering & Mechanics,Finite Element Analysis,GPT-4o-mini,complex
Hard Sciences,Physics,What is a scientific experiment?,GPT-4o-mini,simple
Specialized & Meta,Abstract Concepts,Aporia,GPT-4o-mini,complex
Life Sciences,Genetics,What is a genome?,GPT-4o,simple
Technology & Engineering,Engineering & Mechanics,How do submarines dive underwater?,GPT-4o-mini,simple
Arts & Literature,Performing Arts,How do dancers stay in sync with each other?,GPT-4o,simple
Technology & Engineering,Engineering & Mechanics,Why do engineers design things?,GPT-4o-mini,simple
Life Sciences,Psychology,Person-Centered Therapy,GPT-4o-mini,complex
Humanities & Social Systems,Economics & Finance,Why do we need to buy things?,GPT-4o-mini,simple
Life Sciences,Health,What is a food allergy?,GPT-4o-mini,simple
Technology & Engineering,Computing/AI,How does a touchscreen work?,GPT-4o-mini,simple
Technology & Engineering,Engineering & Mechanics,How do recycling machines work?,GPT-4o,simple
Humanities & Social Systems,Culture & Society,What are some challenges faced by minority cultures?,GPT-4o-mini,simple
Technology & Engineering,Computing/AI,How do tech trends change over time?,GPT-4o-mini,simple
Life Sciences,Psycology,How can people stay motivated?,GPT-4o,simple
Arts & Literature,Performing Arts,How can you express emotions through acting?,GPT-4o-mini,simple
Technology & Engineering,Engineering & Mechanics,Why do we use blueprints?,GPT-4o-mini,simple
Hard Sciences,Physics,How do sound waves travel through the air?,GPT-4o-mini,simple
Life Sciences,Neuroscience,How does the brain help us recognize sounds?,GPT-4o,simple
Life Sciences,Biology,Biodiversity,GPT-4o-mini,complex
Technology & Engineering,Engineering & Mechanics,Transportation Engineering,GPT-4o-mini,complex
Hard Sciences,Chemistry,How do different substances affect the taste of food?,GPT-4o-mini,simple
Technology & Engineering,Technology Applications,What is a VPN?,GPT-4o,simple
Hard Sciences,Astronomy,Why is Pluto not a planet anymore?,GPT-4o,simple
